Lake,DeN,Treat
Almquist,4.22,R
Blackhawk,12.24,A
Bur Oaks,0.91,R
Carlson,2.62,A
Elmo,14.44,R
Fish,2.37,A
Hay,1.53,A
Johanna,33.57,R
Josephine,23.69,R
LeMay,15.52,A
North,5.89,A
Square,9.96,R
